Protein1,Protein2,InteractionProbability
LAMA2_HUMAN,DAG1_HUMAN,0.92
MCM6_HUMAN,MCM2_HUMAN,1.0
TIM23_HUMAN,TI17B_HUMAN,0.93
NOP56_HUMAN,SSF1_HUMAN,0.88
MGT5B_HUMAN,HXA1_HUMAN,0.86
ORC5_HUMAN,ORC2_HUMAN,0.99
VCIP1_HUMAN,NPL4_HUMAN,0.86
SKP1_HUMAN,FBXW9_HUMAN,0.88
RPA49_HUMAN,UBF1_HUMAN,0.93
FGFP1_HUMAN,FGF2_HUMAN,0.9
CSN2_HUMAN,SIN3A_HUMAN,0.87
MED19_HUMAN,RPAB5_HUMAN,0.86
ZN496_HUMAN,NSD1_HUMAN,0.89
TTC1_HUMAN,GNA15_HUMAN,0.89
STK24_HUMAN,STRN4_HUMAN,0.89
BCL3_HUMAN,PIR_HUMAN,0.89
CDC20_HUMAN,CDC23_HUMAN,0.89
PTX3_HUMAN,FGF2_HUMAN,0.9
RRP1B_HUMAN,LC7L3_HUMAN,0.88
APBB3_HUMAN,APLP1_HUMAN,0.87
H4_HUMAN,TBL1X_HUMAN,0.88
TAF8_HUMAN,TAF10_HUMAN,0.96
RUVB2_HUMAN,ARP5_HUMAN,0.9
RPC3_HUMAN,RPC7_HUMAN,0.89
EIF3B_HUMAN,IF4G1_HUMAN,0.94
BRCA1_HUMAN,MSH2_HUMAN,0.9
ITA2B_HUMAN,ITA2B_HUMAN,0.88
FNBP1_HUMAN,FNBP1_HUMAN,0.9
BAZ1B_HUMAN,TOP2B_HUMAN,0.86
HIP1R_HUMAN,CLCA_HUMAN,0.86
OTU1_HUMAN,TERA_HUMAN,0.92
PRPF3_HUMAN,U2AF2_HUMAN,0.93
UBP22_HUMAN,TAF10_HUMAN,0.89
MED28_HUMAN,MED17_HUMAN,0.96
ING3_HUMAN,KAT5_HUMAN,0.89
PTN1_HUMAN,CADH2_HUMAN,0.94
NDUA2_HUMAN,NDUAC_HUMAN,0.86
STXB1_HUMAN,SYTL4_HUMAN,0.96
MED10_HUMAN,MED12_HUMAN,0.89
EXOS3_HUMAN,DI3L1_HUMAN,0.87
S11IP_HUMAN,SMAD4_HUMAN,0.88
PALB2_HUMAN,BRCA2_HUMAN,0.9
LEO1_HUMAN,RTF1_HUMAN,0.89
ILF3_HUMAN,DHX9_HUMAN,0.88
NCK2_HUMAN,ABI2_HUMAN,0.88
T3JAM_HUMAN,SIKE1_HUMAN,0.88
COT2_HUMAN,COT2_HUMAN,0.86
AP3D1_HUMAN,VAMP7_HUMAN,0.87
TF2H1_HUMAN,ERCC3_HUMAN,0.9
CSK21_HUMAN,FBRS_HUMAN,0.86
TR13C_HUMAN,TRAF3_HUMAN,0.89
PCGF1_HUMAN,RING1_HUMAN,0.89
TAF8_HUMAN,TAF4_HUMAN,0.87
ORC6_HUMAN,ORC2_HUMAN,0.96
MYC_HUMAN,DDX24_HUMAN,0.88
ABC3G_HUMAN,ABC3G_HUMAN,0.9
I13R1_HUMAN,IL4RA_HUMAN,0.88
MED19_HUMAN,MED7_HUMAN,0.87
ANDR_HUMAN,COX5B_HUMAN,0.88
SRY_HUMAN,ANDR_HUMAN,0.87
CK5P2_HUMAN,PCNT_HUMAN,0.87
IL5_HUMAN,IL5_HUMAN,0.89
FBW1A_HUMAN,OGT1_HUMAN,0.86
MYC_HUMAN,NU133_HUMAN,0.86
GSK3A_HUMAN,NBR1_HUMAN,0.88
LSM5_HUMAN,LSM1_HUMAN,0.93
RFC4_HUMAN,RAD17_HUMAN,0.96
EED_HUMAN,RBBP4_HUMAN,0.96
ATF4_HUMAN,CBP_HUMAN,0.88
SP1_HUMAN,BRCA1_HUMAN,0.87
CDK19_HUMAN,MED20_HUMAN,0.86
PTN23_HUMAN,GRAP2_HUMAN,0.9
GEMI6_HUMAN,SMN_HUMAN,0.87
MYCB2_HUMAN,MYC_HUMAN,0.89
SRPK2_HUMAN,LC7L3_HUMAN,0.86
CASP9_HUMAN,APAF_HUMAN,0.97
IMB1_HUMAN,RAN_HUMAN,1.0
PSDE_HUMAN,ADRM1_HUMAN,0.92
CUL2_HUMAN,ELOB_HUMAN,0.9
DMBT1_HUMAN,SFTPD_HUMAN,0.88
SNAI1_HUMAN,KDM1A_HUMAN,0.9
GAK_HUMAN,CCNG1_HUMAN,0.88
CSN7A_HUMAN,CSN2_HUMAN,0.9
MED26_HUMAN,MED16_HUMAN,0.86
TLR2_HUMAN,CD14_HUMAN,0.88
MS18B_HUMAN,MS18A_HUMAN,0.89
OTUB1_HUMAN,MSH2_HUMAN,0.86
MYOZ1_HUMAN,FLNC_HUMAN,0.89
H4_HUMAN,MCM2_HUMAN,0.89
CDC6_HUMAN,ORC1_HUMAN,0.97
H4_HUMAN,TBL1X_HUMAN,0.88
H4_HUMAN,HAT1_HUMAN,0.96
TAF1_HUMAN,H4_HUMAN,0.86
MK10_HUMAN,ARRB1_HUMAN,0.89
CSRN2_HUMAN,PP1A_HUMAN,0.88
RGAP1_HUMAN,ECT2_HUMAN,0.9
NSL1_HUMAN,CASC5_HUMAN,0.88
SF3A2_HUMAN,SMD3_HUMAN,0.88
H4_HUMAN,HAT1_HUMAN,0.96
TAOK2_HUMAN,MP2K3_HUMAN,0.89
PDC10_HUMAN,STRN4_HUMAN,0.86
RICTR_HUMAN,LST8_HUMAN,0.89
RT29_HUMAN,GCR_HUMAN,0.88
ARP3B_HUMAN,ARP2_HUMAN,0.93
ESR1_HUMAN,BRCA1_HUMAN,0.9
CSN5_HUMAN,ERCC8_HUMAN,0.87
SGCD_HUMAN,FLNC_HUMAN,0.89
CAV1_HUMAN,PTN6_HUMAN,0.88
ARHGB_HUMAN,PLXB1_HUMAN,0.96
KEAP1_HUMAN,PGAM5_HUMAN,0.87
TNPO1_HUMAN,NUP98_HUMAN,0.86
NKG2D_HUMAN,MICA_HUMAN,0.89
LYRM7_HUMAN,HSC20_HUMAN,0.86
EXO1_HUMAN,PMS2_HUMAN,0.88
PHC2_HUMAN,CBX8_HUMAN,0.9
H4_HUMAN,SETD8_HUMAN,0.9
NCK2_HUMAN,DOCK1_HUMAN,0.88
AIMP2_HUMAN,SYQ_HUMAN,0.86
UBC9_HUMAN,TNR1A_HUMAN,0.88
STAP1_HUMAN,KIT_HUMAN,0.94
SNW1_HUMAN,DDX41_HUMAN,0.86
BAP1_HUMAN,ASXL1_HUMAN,0.9
CASC3_HUMAN,IF4A3_HUMAN,0.9
TRIPB_HUMAN,ARNT_HUMAN,0.89
WDR82_HUMAN,RBBP5_HUMAN,0.88
RIPK3_HUMAN,TRAF2_HUMAN,0.86
WT1_HUMAN,U2AF2_HUMAN,0.9
PSA6_HUMAN,PSA3_HUMAN,0.98
ROR2_HUMAN,MAGD1_HUMAN,0.86
LRP1_HUMAN,A2MG_HUMAN,0.88
INS_HUMAN,INS_HUMAN,0.9
BCR_HUMAN,PK3CG_HUMAN,0.88
PSMD6_HUMAN,PSMD1_HUMAN,0.94
CDC5L_HUMAN,SPF27_HUMAN,0.96
ZAP70_HUMAN,LAT_HUMAN,0.87
HSPB1_HUMAN,DAXX_HUMAN,0.87
PARP2_HUMAN,PARP1_HUMAN,0.88
RBM7_HUMAN,SF3B2_HUMAN,0.89
CDK19_HUMAN,MED17_HUMAN,0.86
EXOS9_HUMAN,EXOSX_HUMAN,0.87
UB2L3_HUMAN,ARI2_HUMAN,0.96
NEMO_HUMAN,NEMO_HUMAN,0.9
PMS2_HUMAN,MSH2_HUMAN,0.89
GBP1_HUMAN,GBP1_HUMAN,0.89
BCOR_HUMAN,KDM2B_HUMAN,0.96
DDX41_HUMAN,NKAP_HUMAN,0.86
PSB1_HUMAN,PSA6_HUMAN,0.89
B2L11_HUMAN,BCL2_HUMAN,0.99
DDIT3_HUMAN,BATF3_HUMAN,0.88
RASA1_HUMAN,RHG07_HUMAN,0.87
WDR26_HUMAN,AXIN1_HUMAN,0.88
ZDH17_HUMAN,HD_HUMAN,0.9
KAD6_HUMAN,TAF10_HUMAN,0.88
ANM5_HUMAN,SPT5H_HUMAN,0.88
PCGF2_HUMAN,PHC2_HUMAN,0.96
PRGR_HUMAN,NCOA3_HUMAN,0.89
C8AP2_HUMAN,TRAF2_HUMAN,0.88
RBP1_HUMAN,AP2M1_HUMAN,0.89
CTTB2_HUMAN,CT2NL_HUMAN,0.86
YETS4_HUMAN,TRRAP_HUMAN,0.89
MYC_HUMAN,OPA1_HUMAN,0.86
HINT1_HUMAN,HINT1_HUMAN,0.91
DYN2_HUMAN,AMPH_HUMAN,0.88
NUCL_HUMAN,GCR_HUMAN,0.87
TAF1_HUMAN,H4_HUMAN,0.86
MCR_HUMAN,GCR_HUMAN,0.88
TRIM6_HUMAN,TRIM6_HUMAN,0.93
DPTOR_HUMAN,RPTOR_HUMAN,0.86
GIT1_HUMAN,ARBK1_HUMAN,0.88
RNC_HUMAN,DGCR8_HUMAN,0.95
ADRM1_HUMAN,UCHL5_HUMAN,0.97
ANDR_HUMAN,ANDR_HUMAN,0.97
CRFR1_HUMAN,UCN1_HUMAN,0.86
STX6_HUMAN,VAMP8_HUMAN,0.87
PARP1_HUMAN,NFKB1_HUMAN,0.87
BAP1_HUMAN,ASXL2_HUMAN,0.89
KEAP1_HUMAN,T22D4_HUMAN,0.89
PHS_HUMAN,PHS_HUMAN,0.96
MED29_HUMAN,MED17_HUMAN,0.9
LG3BP_HUMAN,LEG3_HUMAN,0.9
TCAL1_HUMAN,UBP7_HUMAN,0.87
ENPP1_HUMAN,INSR_HUMAN,0.89
ZFYV9_HUMAN,SMAD2_HUMAN,0.9
STRN3_HUMAN,TCPZ_HUMAN,0.87
AKIP_HUMAN,AURKA_HUMAN,0.86
SMG1_HUMAN,RENT1_HUMAN,0.9
DAXX_HUMAN,TNR6_HUMAN,0.97
TAF4_HUMAN,HD_HUMAN,0.88
MEP50_HUMAN,SMD3_HUMAN,0.87
MED1_HUMAN,MED6_HUMAN,0.87
FCN1_HUMAN,PTX3_HUMAN,0.88
CDK19_HUMAN,MD13L_HUMAN,0.86
H4_HUMAN,MCM2_HUMAN,0.89
RBCC1_HUMAN,A16L1_HUMAN,0.89
PTHR_HUMAN,ARRB1_HUMAN,0.87
A4_HUMAN,TGFB1_HUMAN,0.88
UCHL5_HUMAN,PSB6_HUMAN,0.87
APC1_HUMAN,APC10_HUMAN,0.88
FBX21_HUMAN,EID1_HUMAN,0.86
TP53B_HUMAN,H4_HUMAN,0.9
MK10_HUMAN,JIP3_HUMAN,0.96
ANC2_HUMAN,CDC27_HUMAN,0.9
RRP1B_HUMAN,H1X_HUMAN,0.88
H4_HUMAN,MCM6_HUMAN,0.88
GEMI4_HUMAN,RSMB_HUMAN,0.88
ATAD2_HUMAN,ESR1_HUMAN,0.87
SRPK2_HUMAN,RU17_HUMAN,0.9
TNKS1_HUMAN,TERF1_HUMAN,0.9
INSR_HUMAN,INSR_HUMAN,0.99
STAT6_HUMAN,CBP_HUMAN,0.89
PVRL2_HUMAN,CD226_HUMAN,0.88
YAP1_HUMAN,PP1A_HUMAN,0.87
FANCM_HUMAN,FANCA_HUMAN,0.87
MED9_HUMAN,MED30_HUMAN,0.86
DI3L1_HUMAN,EXOS5_HUMAN,0.86
UBE3A_HUMAN,MCM7_HUMAN,0.89
PAIP2_HUMAN,UBR5_HUMAN,0.9
TRAF6_HUMAN,TNR27_HUMAN,0.88
RPA49_HUMAN,RPA1_HUMAN,0.95
NCOA6_HUMAN,ESR1_HUMAN,0.89
BROX_HUMAN,CHM4B_HUMAN,0.89
CDC23_HUMAN,FZR_HUMAN,0.94
TNFA_HUMAN,TNR1B_HUMAN,0.9
PTN23_HUMAN,UBAP1_HUMAN,0.89
KBTB7_HUMAN,GBRL1_HUMAN,0.88
ARLY_HUMAN,ARLY_HUMAN,0.9
DRG1_HUMAN,ZC3HF_HUMAN,0.89
IMB1_HUMAN,SMN_HUMAN,0.9
MCRS1_HUMAN,ARP5_HUMAN,0.87
MTOR_HUMAN,DPTOR_HUMAN,0.88
MAFF_HUMAN,NF2L2_HUMAN,0.9
AMOT_HUMAN,MERL_HUMAN,0.9
SF3A2_HUMAN,SMD1_HUMAN,0.88
PIAS1_HUMAN,DNM3A_HUMAN,0.9
EIF3K_HUMAN,EIF3H_HUMAN,0.95
MCM7_HUMAN,MCM7_HUMAN,0.99
PELP1_HUMAN,ANDR_HUMAN,0.89
TAF3_HUMAN,TAF10_HUMAN,0.9
TAF1_HUMAN,H4_HUMAN,0.86
PLK1_HUMAN,TP53B_HUMAN,0.88
EPAS1_HUMAN,NEMO_HUMAN,0.88
ASF1A_HUMAN,TAF1_HUMAN,0.88
RARA_HUMAN,PML_HUMAN,0.89
PUF60_HUMAN,SRS11_HUMAN,0.89
EPS15_HUMAN,AP2A1_HUMAN,0.88
SNW1_HUMAN,PLRG1_HUMAN,0.91
CBP_HUMAN,HD_HUMAN,0.87
BCL2_HUMAN,BCL2_HUMAN,0.96
RAD9A_HUMAN,BCL2_HUMAN,0.86
PGK1_HUMAN,G3P_HUMAN,0.95
SIN3A_HUMAN,HDAC2_HUMAN,0.96
C8AP2_HUMAN,CASP8_HUMAN,0.9
ANDR_HUMAN,BRCA1_HUMAN,0.89
CBP_HUMAN,H4_HUMAN,0.9
NR5A2_HUMAN,NCOA1_HUMAN,0.87
JIP1_HUMAN,JIP2_HUMAN,0.96
RUVB2_HUMAN,SRCAP_HUMAN,0.87
H4_HUMAN,CENPA_HUMAN,0.9
GATA2_HUMAN,PML_HUMAN,0.89
UB2L3_HUMAN,NEDD4_HUMAN,0.89
FBX5_HUMAN,CDC20_HUMAN,0.9
ANT3_HUMAN,ANT3_HUMAN,0.86
APR_HUMAN,MCL1_HUMAN,0.9
EXOC7_HUMAN,EXOC4_HUMAN,0.9
FAK1_HUMAN,PAXI_HUMAN,0.97
TPPC3_HUMAN,TPPC5_HUMAN,0.92
PTC1_HUMAN,CCNB1_HUMAN,0.91
CD81_HUMAN,MCP_HUMAN,0.86
CREB3_HUMAN,HCFC1_HUMAN,0.9
MARK2_HUMAN,C43BP_HUMAN,0.86
RNF25_HUMAN,UB2E3_HUMAN,0.86
NDUAC_HUMAN,NDUA6_HUMAN,0.87
ATF4_HUMAN,ZHANG_HUMAN,0.89
NDEL1_HUMAN,DISC1_HUMAN,0.97
PHC3_HUMAN,CBX8_HUMAN,0.87
XPO1_HUMAN,CDN1B_HUMAN,0.89
BMAL1_HUMAN,CLOCK_HUMAN,0.95
JUNB_HUMAN,ATF2_HUMAN,0.87
AKA10_HUMAN,NHRF3_HUMAN,0.87
ZHX1_HUMAN,ZHX3_HUMAN,0.94
PRS4_HUMAN,PSA4_HUMAN,0.86
EDC3_HUMAN,DDX6_HUMAN,0.88
SQSTM_HUMAN,KPCI_HUMAN,0.9
NCTR3_HUMAN,NCTR3_HUMAN,0.88
KC1E_HUMAN,PER2_HUMAN,0.9
RPB3_HUMAN,RPAB4_HUMAN,0.92
SNP29_HUMAN,STX17_HUMAN,0.89
ILF3_HUMAN,ILF2_HUMAN,0.94
HCST_HUMAN,NKG2D_HUMAN,0.87
CARD6_HUMAN,RIPK2_HUMAN,0.86
SDCB1_HUMAN,SDC2_HUMAN,0.95
NPM_HUMAN,RS6_HUMAN,0.87
TBP_HUMAN,HSF1_HUMAN,0.86
CBX4_HUMAN,CTBP2_HUMAN,0.88
RRP1B_HUMAN,NPM_HUMAN,0.88
PYGL_HUMAN,PYGL_HUMAN,0.96
USE1_HUMAN,NBAS_HUMAN,0.88
NFIL3_HUMAN,NC2B_HUMAN,0.86
KALM_HUMAN,FGFR1_HUMAN,0.89
BCOR_HUMAN,PCGF5_HUMAN,0.86
NCOA6_HUMAN,MLL4_HUMAN,0.87
XRCC5_HUMAN,PRKDC_HUMAN,0.9
IL2RG_HUMAN,IL2_HUMAN,0.95
PTN6_HUMAN,FAK2_HUMAN,0.87
HTRA2_HUMAN,BIRC2_HUMAN,0.9
MED19_HUMAN,MED22_HUMAN,0.87
MED10_HUMAN,MED11_HUMAN,0.9
GEMI4_HUMAN,GEMI5_HUMAN,0.88
BBS4_HUMAN,PTHB1_HUMAN,0.89
FANCJ_HUMAN,BLM_HUMAN,0.88
RYBP_HUMAN,AUTS2_HUMAN,0.87
CD2B2_HUMAN,PRP8_HUMAN,0.87
SNAA_HUMAN,VAMP2_HUMAN,0.93
TRAF6_HUMAN,XIAP_HUMAN,0.88
KIF9_HUMAN,ANM6_HUMAN,0.86
NCOA2_HUMAN,NR1H2_HUMAN,0.86
SENP2_HUMAN,NU153_HUMAN,0.89
HSPB8_HUMAN,BAG3_HUMAN,0.94
BECN1_HUMAN,UVRAG_HUMAN,0.9
TOIP1_HUMAN,LMNA_HUMAN,0.89
COG6_HUMAN,COG4_HUMAN,0.89
RSMB_HUMAN,SMD2_HUMAN,0.88
APOE_HUMAN,TAU_HUMAN,0.89
SP1_HUMAN,PO2F1_HUMAN,0.9
MYC_HUMAN,PIN1_HUMAN,0.9
PUF60_HUMAN,RNZ2_HUMAN,0.86
CCM2_HUMAN,KRIT1_HUMAN,0.87
MED9_HUMAN,MED21_HUMAN,0.87
RPB3_HUMAN,CTR9_HUMAN,0.86
PTN6_HUMAN,PECA1_HUMAN,0.89
LYAR_HUMAN,NPM_HUMAN,0.86
ATG10_HUMAN,ATG12_HUMAN,0.95
CYTC_HUMAN,CYTC_HUMAN,0.89
TNIP2_HUMAN,NFKB1_HUMAN,0.9
BAK_HUMAN,BAK_HUMAN,0.9
ILF3_HUMAN,XPO5_HUMAN,0.9
SNPC2_HUMAN,TBP_HUMAN,0.88
SF3A2_HUMAN,HTSF1_HUMAN,0.87
1433E_HUMAN,TGFB1_HUMAN,0.88
DPOLA_HUMAN,PARP1_HUMAN,0.87
ACINU_HUMAN,SRPK2_HUMAN,0.88
EI2BD_HUMAN,EI2BA_HUMAN,0.97
BIRC7_HUMAN,CASP9_HUMAN,0.9
IRAK4_HUMAN,TIRAP_HUMAN,0.87
RPAB2_HUMAN,RPAB1_HUMAN,0.97
NOP2_HUMAN,NOP56_HUMAN,0.89
ROP1A_HUMAN,SP17_HUMAN,0.88
HSPB8_HUMAN,HSPB2_HUMAN,0.88
SNUT2_HUMAN,PRP8_HUMAN,0.86
KC1E_HUMAN,STOX2_HUMAN,0.86
UBXN1_HUMAN,TERA_HUMAN,0.95
UCHL5_HUMAN,PSD10_HUMAN,0.87
NCOR1_HUMAN,BCL6_HUMAN,0.87
ILK_HUMAN,PRKDC_HUMAN,0.86
MTR1A_HUMAN,CALR_HUMAN,0.88
AP2M1_HUMAN,AAK1_HUMAN,0.87
ATM_HUMAN,RAD17_HUMAN,0.88
LMBL1_HUMAN,H4_HUMAN,0.89
CNDH2_HUMAN,CNDD3_HUMAN,0.88
PSD10_HUMAN,PSD12_HUMAN,0.96
UBP13_HUMAN,SMC1A_HUMAN,0.86
KEAP1_HUMAN,KEAP1_HUMAN,0.87
CO029_HUMAN,KTNA1_HUMAN,0.87
TELT_HUMAN,MDM2_HUMAN,0.88
LYN_HUMAN,KSYK_HUMAN,0.9
DDB1_HUMAN,WDTC1_HUMAN,0.89
UCHL5_HUMAN,IN80E_HUMAN,0.87
TBK1_HUMAN,CACO2_HUMAN,0.88
ARRB1_HUMAN,HDGR2_HUMAN,0.89
CDC16_HUMAN,APC5_HUMAN,0.87
MED19_HUMAN,CCNC_HUMAN,0.87
ARNT_HUMAN,TACC3_HUMAN,0.87
MED29_HUMAN,MED19_HUMAN,0.89
PF21A_HUMAN,HDAC2_HUMAN,0.9
KLF4_HUMAN,SP1_HUMAN,0.89
ZAP70_HUMAN,LCP2_HUMAN,0.86
CSK21_HUMAN,NOLC1_HUMAN,0.91
NCOA3_HUMAN,NEMO_HUMAN,0.89
AIMP2_HUMAN,AIMP2_HUMAN,0.88
PSMD6_HUMAN,PRS6A_HUMAN,0.94
BCOR_HUMAN,AF9_HUMAN,0.9
MED26_HUMAN,MED12_HUMAN,0.89
CASPA_HUMAN,CASPA_HUMAN,0.89
PODO_HUMAN,CD2AP_HUMAN,0.88
STAG1_HUMAN,WAPL_HUMAN,0.89
SDC2_HUMAN,SDC2_HUMAN,0.87
CDC26_HUMAN,APC10_HUMAN,0.88
MZT1_HUMAN,GCP5_HUMAN,0.87
CT2NL_HUMAN,STRN4_HUMAN,0.88
UBC9_HUMAN,M3K1_HUMAN,0.88
MYLIP_HUMAN,MYLIP_HUMAN,0.89
NCF1_HUMAN,NCF2_HUMAN,0.9
SH2B2_HUMAN,INSR_HUMAN,0.91
STK36_HUMAN,GLI3_HUMAN,0.87
RUVB2_HUMAN,RMP_HUMAN,0.87
SQSTM_HUMAN,SQSTM_HUMAN,0.97
ACL6A_HUMAN,SMCA4_HUMAN,0.89
CDK19_HUMAN,MED28_HUMAN,0.86
NELFE_HUMAN,NELFA_HUMAN,0.9
T2EA_HUMAN,ERCC3_HUMAN,0.86
ACO13_HUMAN,ACO13_HUMAN,0.88
RL23_HUMAN,BCCIP_HUMAN,0.89
UROK_HUMAN,PAI2_HUMAN,0.87
TNFA_HUMAN,TNFA_HUMAN,0.96
NDKM_HUMAN,NDKM_HUMAN,0.96
BUB1_HUMAN,BUB1B_HUMAN,0.89
RPB3_HUMAN,MYOG_HUMAN,0.89
MERL_HUMAN,DDB1_HUMAN,0.87
ANGP1_HUMAN,TIE2_HUMAN,0.9
HIF1N_HUMAN,FEM1B_HUMAN,0.86
CDK19_HUMAN,MED22_HUMAN,0.86
NFKB1_HUMAN,NFKB1_HUMAN,0.99
LSM4_HUMAN,LSM7_HUMAN,0.97
FHIT_HUMAN,ADRO_HUMAN,0.86
NDUS2_HUMAN,NDUV2_HUMAN,0.87
APBA1_HUMAN,CSKP_HUMAN,0.99
LAMA5_HUMAN,FBLN2_HUMAN,0.88
KAD6_HUMAN,TAF6L_HUMAN,0.89
TRI37_HUMAN,TRAF2_HUMAN,0.86
STRAP_HUMAN,GEMI6_HUMAN,0.86
MED9_HUMAN,MED7_HUMAN,0.88
RNF14_HUMAN,ANDR_HUMAN,0.9
U2AF2_HUMAN,PUF60_HUMAN,0.89
BNIPL_HUMAN,ALR_HUMAN,0.89
LRP6_HUMAN,LRP6_HUMAN,0.89
DNJB1_HUMAN,CDC37_HUMAN,0.86
PRS6A_HUMAN,PRS6A_HUMAN,0.89
CDC37_HUMAN,NEMO_HUMAN,0.9
MBD4_HUMAN,MLH1_HUMAN,0.88
OTU7B_HUMAN,HIF1N_HUMAN,0.87
BECN1_HUMAN,PI3R4_HUMAN,0.96
CNST_HUMAN,PP1A_HUMAN,0.88
MED29_HUMAN,MED6_HUMAN,0.89
EMIL1_HUMAN,EMIL1_HUMAN,0.89
STAT2_HUMAN,CBP_HUMAN,0.9
UCHL5_HUMAN,TYY1_HUMAN,0.87
CSN5_HUMAN,KLH24_HUMAN,0.86
TAF12_HUMAN,TAF9_HUMAN,0.88
GRAN_HUMAN,GRAN_HUMAN,0.86
CD3E_HUMAN,ZAP70_HUMAN,0.9
IGBP1_HUMAN,TIPRL_HUMAN,0.88
EXOS9_HUMAN,RRP44_HUMAN,0.94
ATR_HUMAN,RAD17_HUMAN,0.89
DCTN1_HUMAN,CLIP1_HUMAN,0.9
UCHL5_HUMAN,TFPT_HUMAN,0.87
FAK1_HUMAN,SOCS3_HUMAN,0.88
T2AG_HUMAN,TBP_HUMAN,0.97
RANB9_HUMAN,ANDR_HUMAN,0.88
MBD2_HUMAN,DNMT1_HUMAN,0.88
ANFB_HUMAN,ANPRC_HUMAN,0.9
TITIN_HUMAN,NEBU_HUMAN,0.9
PECA1_HUMAN,CTNB1_HUMAN,0.87
RPAB2_HUMAN,RPB9_HUMAN,0.91
BRCA1_HUMAN,RFA1_HUMAN,0.86
BMPR2_HUMAN,BMP4_HUMAN,0.89
HSF1_HUMAN,HPBP1_HUMAN,0.87
BIRC2_HUMAN,UB2J1_HUMAN,0.86
TF2H4_HUMAN,T2EA_HUMAN,0.86
TRM61_HUMAN,TRM6_HUMAN,0.93
ARRB1_HUMAN,ARRB1_HUMAN,0.86
EPAS1_HUMAN,EGLN1_HUMAN,0.89
IL2RB_HUMAN,HGS_HUMAN,0.88
CDN2C_HUMAN,CDK6_HUMAN,0.9
CRP_HUMAN,CRP_HUMAN,0.89
CDC20_HUMAN,MD2L1_HUMAN,0.9
ARHGB_HUMAN,PLXB2_HUMAN,0.93
FGFR1_HUMAN,FRS2_HUMAN,0.97
TFR2_HUMAN,HFE_HUMAN,0.88
T3JAM_HUMAN,FGOP2_HUMAN,0.86
RPAP3_HUMAN,PFD2_HUMAN,0.87
PR38A_HUMAN,SRPK2_HUMAN,0.86
SGOL2_HUMAN,2AAB_HUMAN,0.87
PARD3_HUMAN,JAM2_HUMAN,0.89
HECW1_HUMAN,SSRD_HUMAN,0.86
KSYK_HUMAN,FCERG_HUMAN,0.87
DAPK1_HUMAN,UNC5B_HUMAN,0.89
SUGP1_HUMAN,U2AF2_HUMAN,0.86
LA_HUMAN,CSK21_HUMAN,0.86
HAUS2_HUMAN,HAUS3_HUMAN,0.87
SLX4_HUMAN,EME1_HUMAN,0.88
DFFB_HUMAN,DFFA_HUMAN,0.99
ERR3_HUMAN,ERR3_HUMAN,0.97
NRP1_HUMAN,PLGF_HUMAN,0.86
1433E_HUMAN,MPIP2_HUMAN,0.9
BCOR_HUMAN,RING1_HUMAN,0.88
VPS52_HUMAN,RNF41_HUMAN,0.9
EXOSX_HUMAN,RRP44_HUMAN,0.96
NFKB1_HUMAN,REL_HUMAN,0.9
CDK7_HUMAN,ERCC5_HUMAN,0.88
LRP8_HUMAN,AMRP_HUMAN,0.89
PLRG1_HUMAN,PRP19_HUMAN,0.87
TBL1X_HUMAN,TBL1X_HUMAN,0.86
CHIP_HUMAN,TAU_HUMAN,0.89
DRA_HUMAN,2B11_HUMAN,0.9
SPSB2_HUMAN,ELOC_HUMAN,0.87
UBL4A_HUMAN,BAG6_HUMAN,0.9
MED19_HUMAN,RPB11_HUMAN,0.86
TNIP2_HUMAN,STK11_HUMAN,0.88
MED10_HUMAN,MED4_HUMAN,0.9
TRDN_HUMAN,SRCH_HUMAN,0.87
COG4_HUMAN,COG5_HUMAN,0.9
MED26_HUMAN,MED25_HUMAN,0.87
BOREA_HUMAN,BIRC5_HUMAN,0.9
MK67I_HUMAN,KI67_HUMAN,0.9
MED9_HUMAN,MED27_HUMAN,0.86
FANCA_HUMAN,FANCE_HUMAN,0.9
EP400_HUMAN,RUVB2_HUMAN,0.87
PEX7_HUMAN,PEX5_HUMAN,0.9
INHBA_HUMAN,AVR2A_HUMAN,0.89
GBG13_HUMAN,GBB5_HUMAN,0.89
H4_HUMAN,MCM2_HUMAN,0.89
IGBP1_HUMAN,TCPQ_HUMAN,0.88
SRF_HUMAN,MYOG_HUMAN,0.88
NOTC1_HUMAN,NOV_HUMAN,0.88
NFKB2_HUMAN,REL_HUMAN,0.9
MED8_HUMAN,MED26_HUMAN,0.88
PEX10_HUMAN,PEX10_HUMAN,0.87
GABR2_HUMAN,ATF4_HUMAN,0.86
CASP9_HUMAN,XIAP_HUMAN,0.9
ELOB_HUMAN,ASB8_HUMAN,0.88
BAG6_HUMAN,SGTA_HUMAN,0.9
TYK2_HUMAN,PTN1_HUMAN,0.86
CT2NL_HUMAN,PDC10_HUMAN,0.86
TAB1_HUMAN,M3K7_HUMAN,0.99
ICOS_HUMAN,ICOSL_HUMAN,0.97
TN13B_HUMAN,TNR17_HUMAN,0.9
MED4_HUMAN,MED9_HUMAN,0.89
MED9_HUMAN,MED22_HUMAN,0.88
ACPM_HUMAN,LYRM4_HUMAN,0.89
FBXW7_HUMAN,FBXW7_HUMAN,0.93
MED9_HUMAN,MD13L_HUMAN,0.87
CRCM_HUMAN,IKBB_HUMAN,0.88
